imdb_id,director,collection_dollar,gender,probability,original_title,year_of_release
tt1980970,rakesh ranjan kumar,NA,male,0.999,Gandhi to Hitler,2011
tt2104937,tanveer khan,NA,male,0.98,Miley - Naa Miley - Hum,2011
tt3309844,amit singh,NA,Male,0.99,Titoo MBA,2014
tt1706317,priyadarshan,4305016,male,0.99,Tezz,2012
tt5933706,rajiv s. ruia,NA,male,0.99,Saansein: The Last Breath,2016
tt7695014,tigmanshu dhulia,1401894,Male,0.99,Saheb Biwi Aur Gangster 3,2018
tt2929690,shonali bose,NA,Female,1,Margarita with a Straw,2014
tt2609218,bhushan patel,6534865,Male,0.99,Ragini MMS 2,2014
tt5943306,sohail khan,28940,Male,0.99,Freaky Ali,2016
tt9248972,jagan shakti,5667057,Male,0.99,Mission Mangal,2019
tt2243336,manish manikpuri,NA,male,0.99,Aalaap,2012
tt2963974,agneya singh,NA,Male,0.98,M Cream,2014
tt3398052,habib faisal,231688,male,0.995,Daawat-e-Ishq,2014
tt6926486,ashim ahluwalia,8808,male,0.995,Daddy,2017
tt2976176,nagesh kukunoor,24539,Male,0.995,Lakshmi,2014
tt8291224,aditya dhar,39346577,male,0.99,Uri: The Surgical Strike,2019
tt2362778,tigmanshu dhulia,NA,Male,1,Saheb Biwi Aur Gangster Returns,2013
tt7617988,onir,NA,male,0.99,Kuchh Bheege Alfaaz,2018
tt5156746,abhinay deo,5522478,Male,0.99,Force 2,2016
tt2998196,aman sachdeva,NA,male,0.99,Kuku Mathur Ki Jhand Ho Gayi,2014
tt2122340,rajesh mapuskar,689861,male,0.99,Ferrari Ki Sawaari,2012
tt2171454,anand kumar,NA,male,0.999,Zila Ghaziabad,2013
tt2063745,vijay raaz,NA,Male,1,Kya Dilli Kya Lahore,2014
tt2402131,sanjay m. khanduri,NA,male,0.999,Kismet Love Paisa Dilli,2012
tt5743888,deepak s. shivdasani,NA,male,0.99,Julie 2,2017
tt4535650,rohit shetty,31994323,male,0.99,Dilwale,2015
tt4900716,shakun batra,17412627,Male,1,Kapoor & Sons,2016
tt2912578,sohail tatari,112110,Male,0.99,Ankur Arora Murder Case,2013
tt2338151,rajkumar hirani,100370104,male,1,PK,2014
tt8504014,raj mehta,13058135,male,0.99,Good Newwz,2019
tt5240748,qaushiq mukherjee,NA,male,0.99,Brahman Naman,2016
tt4760900,biswajeet bora,NA,male,0.99,Aisa Yeh Jahaan,2015
tt2438764,vishwas patil,NA,Male,0.99,Rajjo,2013
tt3447364,dibakar banerjee,4552665,male,0.99,Detective Byomkesh Bakshy!,2015
tt6352548,shreyas talpade,2557576,Male,0.995,Poster Boys,2017
tt6080746,tigmanshu dhulia,181430,male,0.99,Raag Desh,2017
tt5632164,ram gopal varma,1234745,male,1,Veerappan,2016
tt3859980,ashutosh gowariker,1630231,Male,0.99,Mohenjo Daro,2016
tt2357926,prabhu deva,80108,male,1,Ramaiya Vastavaiya,2013
tt7485048,vikas bahl,24701637,male,1,Super 30,2019
tt4635372,neeraj ghaywan,651748,male,0.99,Masaan,2015
tt2759338,manish vatssalya,35464,male,0.99,Dassehra,2018
tt2208248,debaloy dey,NA,male,0.99,Machhli Jal Ki Rani Hai,2014
tt1841542,vikas bahl,832150,male,0.999,Chillar Party,2011
tt5313980,abhishek sharma,9995,male,0.99,Tere Bin Laden: Dead Or Alive,2016
tt9319812,abhishek dixit,NA,male,0.99,Hum chaar,2019
tt4434004,abhishek chaubey,359891,male,0.999,Udta Punjab,2016
tt6405126,hansal mehta,2740865,male,0.99,Simran,2017
tt4271730,bhushan patel,NA,male,0.99,Alone,2015
tt1821480,sujoy ghosh,459234,male,1,Kahaani,2012
tt4088588,nagesh kukunoor,NA,male,0.99,Dhanak,2015
tt4994210,vijay pal,NA,Male,0.99,Sorry Daddy,2015
tt1395025,sriram raghavan,9520886,male,0.99,Agent Vinod,2012
tt6143422,nila madhab panda,NA,Male,0.98,Dark wind,2017
tt6041458,a.l. vijay,902643,male,0.99,Tutak Tutak Tutiya,2016
tt6467738,aparnaa singh,NA,female,0.99,Irada,2017
tt3036740,sajid khan,12278365,male,0.99,Humshakals,2014
tt2016894,kabir khan,5543117,male,1,Ek Tha Tiger,2012
tt8130968,sujoy ghosh,18502646,male,1,Badla,2019
tt1954206,milan luthria,341767,male,0.99,The Dirty Picture,2011
tt2350496,ritesh batra,11621785,male,1,Dabba,2013
tt3590416,manoj shidheshwari tiwari,17410,male,0.99,Global Baba,2016
tt5638474,vishal pandya,1855282,male,0.99,Wajah Tum Ho,2016
tt7549484,rajiv dhingra,1955266,Male,0.99,Firangi,2017
tt2190820,manish srivastav,NA,Male,0.999,Charlie Kay Chakkar Mein,2015
tt1867070,mrighdeep lamba,NA,Male,0.99,Teen Thay Bhai,2011
tt4857886,deepak tijori,NA,male,1,Do Lafzon Ki Kahani,2016
tt2072227,dibakar banerjee,NA,male,0.99,Shanghai,2012
tt2615584,rajkumar santoshi,669070,Male,0.999,Phata Poster Nikhla Hero,2013
tt4007558,vikas bahl,14120808,male,0.99,Shaandaar,2015
tt6078866,ivan ayr,NA,male,0.99,Soni,2018
